Property Name,Property Type,Property Tag,Title,Complex Name,Address,Latitude,Longitude,Pincode,Super Area (sqft),Area per Square (Rs/Sqft),Price (lakh),Owner Type,Owner Name,Age of Construction,Floor,Facing,District,State
,Commerical,Rent,"1600 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Defence Colony,"Defence Colony New Delhi, Defence Colony, New Delhi - South, Delhi NCR
",28.5733536,77.2326497,110024,1600,188,3,Owner,Arjun Trehan,Less than 5 years,"4 (Out of 5 Floors)
",West,South Delhi,Delhi
,Commerical,Rent,"1400 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Janakpuri,"Janakpuri, New Delhi, Janakpuri, New Delhi - West, Delhi NCR
",28.621899,77.0878384999999,110058,1400,50,0.7,Owner,Deepak Jakhar,5 to 10 years,"5 (Out of 8 Floors)
",East,West Delhi,Delhi
,Commerical,Rent,Commercial Office Space1400 sqft,Janakpuri Community Center,"C-22 Community Center, Pankha Road, Janakpuri, New Delhi - 110058, New Delhi, Delhi NCR
",28.6135782,77.0865908,110046,1400,61,0.85,Owner,Deepanshu Ahuja,10 to 15 years,"1 (Out of 3 Floors)
",East,South West Delhi,Delhi
,Commerical,Rent,"9000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Mohan Cooperative Industrial Estate, Badarpur, Mathura Road","B1 Extenstion Phase E11 Mohan Cooperative New Delhi, Mohan Cooperative Industrial Estate, New Delhi - South, Delhi NCR
",28.5115865,77.2961067999999,110044,9000,70,6.3,Owner,Rishabh,Less than 5 years,"3 (Out of 4 Floors)
",East,South East Delhi,Delhi
,Commerical,Rent,"3400 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Okhla Phase 1,"D-88/3 Okhla Industrial Area, Phase 1, Okhla Phase 1, New Delhi - South, Delhi NCR
",28.5245577,77.2793059,110020,3400,34,1.2,Owner,Ramesh Chopra,5 to 10 years,"Ground (Out of 4 Floors)
",South,South East Delhi,Delhi
,Commerical,Rent,"726 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Connaught Place,"Barakhamba Road, Connaught Place, New Delhi - Central, Delhi NCR
",28.6306943,77.2232451999999,110001,726,172,1.3,Owner,Gaurav,Less than 5 years,"1 (Out of 15 Floors)
",,New Delhi,Delhi
,Commerical,Rent,Commercial Office Space1200 sqft,shivalik A block,"A block shivalik malviya nagar new delhi., New Delhi, Delhi NCR
",28.5312364,77.2065229,110017,1200,29,0.35,Owner,Anil Bhatia,5 to 10 years,"Upper Basement (Out of 2 Floors)
",South -West,South Delhi,Delhi
,Commerical,Rent,"3000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Bhogal, Jangpura","47-49 central road, bhogal., Bhogal, New Delhi - South, Delhi NCR
",28.5823552,77.2481633,110014,3000,150,4.5,Owner,ABHISHEK AGGARWAL,New Construction,"1 (Out of 3 Floors)
",South - East,South Delhi,Delhi
,Commerical,Rent,"5500 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Saket,"westend marg, Saket, New Delhi - South, Delhi NCR
",28.5173931,77.1981668999999,110030,5500,47,2.6,Agent,Rahul,Less than 5 years,"1 (Out of 3 Floors)
",North - East,South Delhi,Delhi
,Commerical,Rent,"3500 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Okhla Phase 3,"Okhla Phase 3 New Delhi, Okhla Phase 3, New Delhi - South, Delhi NCR
",28.549291,77.2678136999999,110020,3500,157,5.5,Owner,Nirmal Dhingra,New Construction,"Upper Basement (Out of 4 Floors)
",East,South East Delhi,Delhi
,Commerical,Rent,"6156 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Green Park Extension,"L-10 Green Park Extension Market, Green Park Extension, New Delhi - South, Delhi NCR
",28.5618614,77.2042833999999,110016,,118,7.3,Owner,Surinder Kumar Ghai,Above 20 years,"Upper Basement (Out of 4 Floors)
",,South East Delhi,Delhi
,Commerical,Rent,"3369 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Jasola,"Copia Corporate Suits Jasola New Delhi, Jasola, New Delhi - South, Delhi NCR
",28.5476564,77.2782658,110020,3369,100,3.4,Owner,Deepika Gupta,New Construction,"6 (Out of 6 Floors)
",East,South East Delhi,Delhi
,Commerical,Rent,"312 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Kalkaji,"Kalkaji New Delhi, Kalkaji, New Delhi - South, Delhi NCR
",28.5399515,77.2591578999999,110019,312,112,0.35,Owner,shivabh,Above 20 years,"Ground (Out of 3 Floors)
",East,South Delhi,Delhi
,Commerical,Rent,"300 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Connaught Place,"403 PRATAP BHAWAN BahadurShah Zafar Marg New Delhi India, Connaught Place, New Delhi - Central, Delhi NCR
",28.6310645,77.2413966,110002,300,100,0.3,Owner,Vikram Gupta,15 to 20 years,"4 (Out of 4 Floors)
",North - West,Central Delhi,Delhi
,Commerical,Rent,"500 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Chittaranjan Park,"Chittaranjan park New Delhi, near-gk-2 metro station, Chittaranjan Park, New Delhi - South, Delhi NCR
",28.5397842,77.2489726,110019,500,30,0.15,Owner,Rajan Puri,10 to 15 years,"Upper Basement (Out of 3 Floors)
",East,South East Delhi,Delhi
,Commerical,Rent,"1300 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Patel Nagar East, Patel Nagar","Patel Nagar East, New Delhi - West, Delhi NCR
",28.6468151,77.1721199,110008,1300,65,0.85,Owner,Nikhil bhandari,Above 20 years,"1 (Out of 1 Floors)
",,West Delhi,Delhi
,Commerical,Rent,Commercial Office Space2500 sqft,South Delhi,"Shahpuri Arjun Palace, B-45, G.K-1, New Delhi- 110048, New Delhi, Delhi NCR
",28.5496006,77.2359125,110048,2500,68,1.7,Owner,Pooja,15 to 20 years,"2 (Out of 2 Floors)
",East,South East Delhi,Delhi
,Commerical,Rent,"2700 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Meera Bagh, Paschim Vihar","B-372, Meerabagh Paschim Vihar, New Delhi-110063, Meera Bagh, New Delhi - West, Delhi NCR
",28.6609094,77.0872754,110087,2700,31,0.85,Owner,Mohit Arora,5 to 10 years,"2 (Out of 4 Floors)
",West,West Delhi,Delhi
,Commerical,Rent,"2340 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Dwarka Sector 19,"448, 3rd floor, sector 19, dwarka, new delhi, Sector 19 Dwarka, New Delhi - Dwarka, Delhi NCR
",28.5850297,77.0427964999999,110075,2340,56,1.3,Owner,Deepak Gupta,Less than 5 years,"3 (Out of 3 Floors)
",North - East,South West Delhi,Delhi
,Commerical,Rent,"410 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Vasant Vihar,"E923 Vasant Vihar New Delhi., Vasant Vihar, New Delhi - South, Delhi NCR
",28.5581832,77.1557237,110057,410,117,0.48,Owner,Himanshu,Less than 5 years,"Upper Basement (Out of 4 Floors)
",West,New Delhi,Delhi
,Commerical,Rent,"800 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Rohini Sector 1,"Avantika, Rohini Sec 1, Delhi 110085, Sector 1 Rohini, New Delhi - Rohini, Delhi NCR
",28.703235,77.100352,110085,800,50,0.4,Owner,ATTAR SINGH GAHLAWAT,5 to 10 years,"2 (Out of 3 Floors)
",East,North West Delhi,Delhi
,Commerical,Rent,"100 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Karol Bagh,"Shanti Chamber Opposite telephone exchange 116B PUSA Road, Karol Bagh, New Delhi - Central, Delhi NCR
",28.6426545,77.181634,110005,100,120,0.12,Owner,P K Gupta,5 to 10 years,"Ground (Out of 4 Floors)
",North,Central Delhi,Delhi
,Commerical,Rent,"1950 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Sangam Vihar,"Street no 6, Shop No-19&20, Wazirabad Sangam Vihar Road, New Delhi - North-, Sangam Vihar, New Delhi - South, Delhi NCR
",28.7443081,77.2007019,110084,1950,51,1,Owner,Sushil Tyagi,New Construction,"Upper Basement (Out of 1 Floors)
",West,North Delhi,Delhi
,Commerical,Rent,"1200 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Palam,"Wz - 3A, First floor, Umdesh Bhawan, Palam, New Delhi - 110045, Palam, New Delhi - Dwarka, Delhi NCR
",28.5888016,77.0800993999999,110077,1200,80,0.96,Owner,I'm praksh vats,10 to 15 years,"1 (Out of 3 Floors)
",East,South West Delhi,Delhi
,Commerical,Rent,"1500 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Okhla Industrial Area,"A89 2nd Floor DDA Shed Okhla PhaseII New Delhi110020, Okhla Industrial Area, New Delhi - South, Delhi NCR
",28.5382562,77.2701031999999,110020,1500,40,0.6,Owner,A K GUPTA,Less than 5 years,"2 (Out of 3 Floors)
",West,South East Delhi,Delhi
,Commerical,Rent,"850 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Pitampura,"Pearl Best Heights 1 Ring Road, Pitampura, New Delhi - North, Delhi NCR
",28.692515,77.1512438,110034,850,76,0.65,Owner,I S Dahiya,5 to 10 years,"8 (Out of 12 Floors)
",East,North West Delhi,Delhi
,Commerical,Rent,"3400 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Mukerjee Nagar,"B16 Dr. Mukherjee Nagar Delhi India, Mukerjee Nagar, New Delhi - North, Delhi NCR
",28.7093202,77.2138442999999,110009,3400,88,3,Owner,Rishi Modi,Above 20 years,"2 (Out of 4 Floors)
",North - West,North Delhi,Delhi
,Commerical,Rent,"3000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Savitri Nagar Village, Sheikh Sarai","29/2 Lower Ground Floor Savitri Nagar New Delhi, Savitri Nagar Village, New Delhi - South, Delhi NCR, Savitri Nagar Village, New Delhi - South, Delhi NCR
",28.539235,77.2186001,110017,3000,47,1.4,Owner,Nitin Gupta,10 to 15 years,"Upper Basement (Out of 1 Floors)
",North,South Delhi,Delhi
,Commerical,Rent,"2106 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Greater Kailash 2,"7, 2, BLOCK M, greater kailash II, new delhi 110048, GK II, New Delhi - South, Delhi NCR
",28.532433,77.2428829,110048,2106,104,2.2,Owner,Sanjay Malhotra,5 to 10 years,"2 (Out of 3 Floors)
",East,South East Delhi,Delhi
,Commerical,Rent,"376 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Kasturba Gandhi Marg, Connaught Place","507 Ambadeep Building KS Marg New Delhi India, Kasturba Gandhi Marg, New Delhi - Central, Delhi NCR
",28.6285461,77.225533,110001,376,130,0.49,Owner,Usha,Above 20 years,"5 (Out of 22 Floors)
",North,New Delhi,Delhi
,Commerical,Rent,"8000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Azadpur, Ring Road","D-4 Panchwati Azadpur, Azadpur, New Delhi - North, Delhi NCR
",28.7146959,77.1770461,110033,8000,50,4,Owner,Abhishek,10 to 15 years,"Ground (Out of 5 Floors)
",,North Delhi,Delhi
,Commerical,Rent,"1424 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Khel Gaon,"B 109 Ansal Plaza Hudco Place New Delhi, Khel Gaon, New Delhi - South, Delhi NCR
",28.5530539,77.2157031,110016,1424,105,1.5,Owner,Anita,10 to 15 years,"1 (Out of 5 Floors)
",North,South Delhi,Delhi
,Commerical,Rent,"1600 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Mayur Vihar 1,"A-2, Acharya Niketan, Shiv Arcade, Mayur Vihar Ph-1, Mayur Vihar 1, New Delhi - East, Delhi NCR
",28.6091681,77.2926969999999,110091,1600,34,0.55,Owner,Anil Tomar,5 to 10 years,"2 (Out of 4 Floors)
",North - West,East Delhi,Delhi
,Commerical,Rent,"1800 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Tagore Garden, Rajouri Garden, Najafgarh Road","DE 84, Tagore garden, Tagore Garden, New Delhi - West, Delhi NCR
",28.6464209,77.1163722999999,110027,1800,111,2,Owner,Jagjit Singh,Less than 5 years,"Ground (Out of 4 Floors)
",East,West Delhi,Delhi
,Commerical,Rent,"1800 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Chhattarpur Enclave,"Chhatarpur Enclave New Delhi, Chhattarpur Enclave, New Delhi - South, Delhi NCR
",28.4958562,77.1848253999999,110074,1800,25,0.45,Owner,Komal,5 to 10 years,"Ground (Out of 2 Floors)
",East,South Delhi,Delhi
,Commerical,Rent,"1400 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Karol Bagh,"Building No.1112 Street No. 11Elahi Bux Road Karol Bagh 110005, Karol Bagh, New Delhi - Central, Delhi NCR
",28.6477816,77.1974427,110005,1400,86,1.2,Owner,Randhir Chopra,New Construction,"2 (Out of 3 Floors)
",South - East,Central Delhi,Delhi
Investors Point,Commerical,Rent,"600 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Netaji Subhash Place, Pitampura","Netaji subhash place., Netaji Subhash Place, New Delhi - North, Delhi NCR
",28.6960458,77.1526303999999,110034,600,83,0.5,Agent,Umesh Sooryavanshi,Less than 5 years,"5 (Out of 15 Floors)
",North - East,North West Delhi,Delhi
,Commerical,Rent,"1300 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Patel Nagar West,"2753 main patel road opposite metro pillar 206 kohli tent House, Patel Nagar West, New Delhi - West, Delhi NCR
",28.647648,77.1645650999999,110008,1300,77,1,Owner,Kohli,5 to 10 years,"1 (Out of 2 Floors)
",North,Central Delhi,Delhi
,Commerical,Rent,"2200 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Mayur Vihar,"Mayur Vihar, New Delhi - East, Delhi NCR
",28.6146243,77.3121575,110091,2200,18,0.4,Owner,Sachin Mittal,5 to 10 years,,,East Delhi,Delhi
,Commerical,Rent,"1200 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Rohini Sector 7,"Sector 7 Rohini, New Delhi - Rohini, Delhi NCR
",28.7080569,77.1179540999999,110085,1200,50,0.6,Owner,Pankaj Garg,5 to 10 years,"3 (Out of 5 Floors)
",,North West Delhi,Delhi
,Commerical,Rent,"5000 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Dwarka Sector 18A,"Sector 18A Dwarka, New Delhi - Dwarka, Delhi NCR
",28.5859244,77.0358593999999,110075,5000,100,5,Owner,Sujaram,10 to 15 years,"2 (Out of 3 Floors)
",North,South West Delhi,Delhi
,Commerical,Rent,"3200 Sq-ft Commercial Office Space for Rent in , locality, New Delhi",Ashok Vihar Phase 2,"B-2/20, First Floor, Phase-2, Ashok Vihar, Ashok Vihar Phase 2, New Delhi - North, Delhi NCR
",28.6916288,77.1756084,110052,3200,100,3.2,Owner,Vinay singhal,New Construction,"2 (Out of 4 Floors)
",South -West,North West Delhi,Delhi
Parul Mittal Real Estates,Commerical,Rent,"1350 Sq-ft Commercial Office Space for Rent in , locality, New Delhi","Netaji Subhash Place, Pitampura","Netaji Subhash Place, Delhi North, Netaji Subhash Place, New Delhi - North, Delhi NCR
",28.6960458,77.1526303999999,110034,1350,80,1.1,Agent,Parul Mittal,Less than 5 years,"3 (Out of 14 Floors)
",North,North West Delhi,Delhi
